country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Northern Mariana Islands,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Mozambique,35,36,40,44,46,48,49,51,51,54,53,52,54,58,61,60,72,83,87,88,85,85
Mauritania,46,,,,58,40,51,59,55,56,53,40,60,52,57,52,57,61,60,64,61,65
Mauritius,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,64,58
Malawi,54,57,52,58,54,50,49,47,46,45,42,40,45,42,43,47,51,57,56,61,56,55
Malaysia,88,88,87,87,86,86,86,86,86,85,85,85,85,85,85,85,85,85,85,85,77,65
Namibia,60,64,59,61,62,61,61,60,62,59,60,62,61,61,60,66,63,64,62,66,58,58
New Caledonia,87,87,87,87,87,87,87,87,87,87,87,87,87,,87,87,87,87,87,87,87,87
Niger,21,24,25,34,34,40,43,48,48,53,54,56,58,59,57,54,51,53,54,58,57,64
Nigeria,9.6,17,14,15,19,21,22,25,26,26,24,24,25,25,22,22,24,24,24,26,30,44
Nicaragua,79,79,79,80,80,80,80,80,80,80,80,79,79,79,79,79,79,79,79,79,67,60
Netherlands,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Curaçao,,,,,,,,,,,87,87,87,87,87,87,87,87,,,,
Norway,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,89
Nepal,29,29,30,34,33,35,35,36,37,40,42,43,44,43,47,45,43,44,46,46,40,41
Nauru,87,87,87,87,,87,87,87,87,87,87,87,,,87,87,87,87,87,87,87,87
New Zealand,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Oman,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Pakistan,2.6,4.7,11,15,20,30,36,46,48,50,49,48,48,51,55,57,62,62,62,56,47,55
Panama,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
Peru,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,80,82,82,61,59
Philippines,26,23,26,29,28,29,32,30,29,30,33,38,41,42,44,49,57,54,62,67,43,43
Palau,,,87,87,87,87,87,87,,87,87,87,87,87,87,87,87,87,87,87,87,87
Papua New Guinea,44,51,44,49,47,45,44,50,45,39,44,44,59,64,72,70,72,67,69,74,69,68
Poland,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Puerto Rico,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
North Korea,28,24,33,40,36,35,36,47,58,61,67,72,72,76,80,87,86,77,68,72,68,66
Portugal,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,89
Paraguay,90,91,91,92,92,92,93,93,94,94,94,94,94,94,94,94,94,94,94,94,79,85
Palestine,80,80,,80,80,80,80,80,80,80,80,80,80,,80,80,80,80,80,80,80,80
French Polynesia,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,,87,87
Qatar,87,87,87,87,87,87,87,87,87,87,87,87,87,,87,87,87,87,87,87,87,87
Romania,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Russia,100,98,99,100,96,100,99,99,100,100,100,97,96,100,100,100,100,99,99,100,83,83
Rwanda,78,80,81,80,79,78,78,78,78,78,78,78,78,78,78,78,78,78,79,79,74,69
Saudi Arabia,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Sudan,52,52,52,52,52,52,52,51,51,51,51,53,52,53,56,56,63,66,67,69,63,69
Senegal,57,56,55,61,59,63,65,65,68,68,67,66,72,76,76,75,72,73,72,72,68,70
Singapore,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Solomon Islands,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
Sierra Leone,27,31,30,32,33,38,44,50,56,58,63,61,61,55,56,53,62,69,73,75,65,72
El Salvador,79,79,79,80,80,80,81,81,81,81,81,81,81,81,81,81,81,82,82,82,60,62
San Marino,87,,87,87,,,,,,,,,,,,,,,,,,
Somalia,23,26,28,33,41,43,39,35,38,33,29,33,34,36,35,37,37,42,41,41,41,41
Serbia,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,44,42
South Sudan,,,,,,,,,,,,31,35,25,33,38,43,42,62,69,66,72
Sao Tome and Principe,57,57,56,240,56,56,56,56,56,56,57,57,57,57,57,57,57,57,57,57,36,32
Suriname,79,78,78,77,77,77,77,,77,78,78,78,78,78,78,78,78,78,78,77,59,50
Slovak Republic,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Slovenia,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Sweden,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Eswatini,58,58,58,58,57,57,57,57,57,58,58,58,58,58,58,58,58,58,58,68,53,47
Sint Maarten (Dutch part),,,,,,,,,,,87,87,87,87,,87,,87,87,87,87,87
Seychelles,87,87,87,87,87,87,,,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Syria,81,80,80,79,79,79,78,77,77,78,77,74,72,73,75,75,74,72,70,68,69,86
Turks and Caicos Islands,,87,87,87,,,87,,,,87,87,87,87,87,87,87,87,87,87,,
Chad,,,38,33,34,42,,37,42,49,54,58,57,58,60,56,51,55,59,60,55,57
Togo,55,,56,56,60,63,65,53,61,60,56,59,59,57,60,67,78,80,79,84,79,84
Thailand,22,32,32,35,36,39,40,40,42,50,54,54,51,54,58,54,62,72,78,82,83,70
Tajikistan,20,25,28,61,32,40,42,52,56,69,72,77,76,69,77,80,80,78,75,74,54,48
Turkmenistan,79,79,78,78,78,78,78,78,77,77,77,77,77,77,77,77,77,77,77,77,66,63
Timor-Leste,,,61,69,79,78,72,64,63,89,,79,68,65,62,56,59,56,60,64,52,50
Tonga,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Trinidad and Tobago,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Tunisia,79,78,78,78,78,78,78,78,78,78,78,78,78,78,77,77,77,77,78,78,62,59
