country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Niger,65,64,58,70,61,74,77,79,79,79,81,80,77,79,79,80,81,82,83,83,84
Nigeria,79,79,79,78,73,75,76,82,78,84,81,85,86,86,87,84,86,86,87,88,90
Nicaragua,82,83,82,84,87,85,89,86,89,85,85,86,87,84,85,87,86,86,87,88,86
Netherlands,76,,68,86,82,87,,81,84,84,84,84,83,88,85,86,86,87,86,86,83
Curaçao,,,,,,,,,,,,0,0,0,,50,50,,,,
Norway,70,87,80,97,88,91,88,71,87,86,89,88,79,89,84,88,88,91,84,85,89
Nepal,84,87,86,87,88,89,89,88,90,91,91,91,91,91,92,92,91,91,91,89,91
Nauru,25,100,50,,,82,58,100,100,100,40,,,67,100,89,70,78,100,94,92
New Zealand,30,9,60,,71,73,77,86,80,80,80,64,81,84,82,80,84,82,84,83,89
Oman,93,90,92,90,93,94,88,93,97,98,98,98,97,96,96,88,51,51,52,48,56
Pakistan,74,77,78,79,80,82,86,90,89,91,90,92,91,93,93,93,94,93,93,93,94
Panama,60,64,71,63,75,78,78,77,76,79,75,81,80,80,79,82,81,73,82,83,79
Peru,90,90,92,89,90,91,78,92,82,81,68,74,67,79,87,87,86,86,83,83,85
Philippines,88,88,88,88,78,89,88,88,84,85,90,87,88,90,92,91,91,91,83,86,76
Palau,,100,38,80,100,100,67,,,84,84,63,100,88,57,86,83,80,82,100,90
Papua New Guinea,63,67,53,58,60,66,71,59,64,67,50,69,68,67,70,74,62,68,73,71,74
Poland,72,76,86,78,46,78,77,78,75,68,67,62,60,59,58,53,54,,,,
Puerto Rico,64,76,60,66,67,73,79,82,71,78,83,72,66,73,66,63,78,69,72,83,74
North Korea,82,90,88,88,91,90,88,87,90,91,91,92,92,92,91,90,,83,83,84,87
Portugal,79,78,82,84,83,87,87,85,87,83,74,77,78,74,72,72,70,73,67,71,73
Paraguay,66,72,75,76,68,65,65,71,71,74,70,71,70,68,71,70,67,71,67,67,68
Palestine,,,100,80,91,100,98,97,95,94,83,100,,91,91,,,100,87,86,92
French Polynesia,97,80,82,83,84,88,83,83,95,90,84,86,85,93,76,,82,81,,80,91
Qatar,66,60,75,73,78,83,69,87,88,86,87,70,,85,,70,69,64,71,73,77
Romania,70,75,74,80,82,85,85,86,86,87,84,86,85,85,85,85,86,86,84,84,82
Russia,68,67,67,61,65,67,69,69,69,68,66,65,69,68,69,71,72,69,69,68,62
Rwanda,61,,58,67,77,74,77,80,82,79,82,84,84,85,86,87,86,86,86,87,89
Saudi Arabia,73,77,76,79,82,67,68,67,61,65,61,61,64,56,62,72,75,90,90,90,90
Sudan,75,80,78,82,78,79,83,74,77,76,75,68,75,82,82,79,78,80,84,83,86
Senegal,52,53,66,70,74,76,76,68,79,81,82,83,84,87,87,86,86,87,89,91,89
Singapore,71,77,76,77,79,81,82,82,82,83,81,83,75,77,78,79,79,79,80,79,79
Solomon Islands,81,89,90,87,85,88,88,90,93,88,89,91,88,94,91,94,94,92,92,95,92
Sierra Leone,77,80,81,83,82,86,86,88,86,80,86,87,90,87,85,88,89,90,89,88,89
El Salvador,79,88,88,88,90,93,92,91,92,91,92,93,93,93,91,92,90,90,91,90,89
San Marino,0,,,,,,,,,,,,,,,,,,,,
Somalia,83,86,89,90,91,89,89,86,81,63,74,86,88,86,86,84,88,86,87,92,90
Serbia,,,,,,83,82,83,88,87,88,86,84,78,81,89,83,86,82,85,80
South Sudan,,,,,,,,,,,,69,52,72,71,80,82,80,81,85,82
Sao Tome and Principe,78,63,76,71,71,96,99,89,92,85,76,69,70,73,74,78,78,75,72,70,71
Suriname,68,56,67,69,70,,,,54,62,54,76,66,77,77,76,68,73,87,79,75
Slovak Republic,82,87,85,87,89,93,87,89,91,87,88,93,88,94,88,86,86,92,92,94,86
Slovenia,84,82,85,85,83,82,83,84,79,84,82,81,81,77,77,81,71,77,78,70,74
Sweden,79,62,73,83,64,69,63,68,90,88,88,87,83,90,88,87,91,87,78,61,72
Eswatini,,36,47,42,36,36,38,51,65,67,72,72,72,75,78,80,83,86,90,86,81
Sint Maarten (Dutch part),,,,,,,,,,,100,100,100,100,100,100,,100,80,100,
Seychelles,82,67,45,100,89,,,86,100,73,76,48,85,79,69,88,60,56,67,57,78
Syria,78,81,87,88,88,89,88,88,87,90,91,84,53,80,70,91,90,86,89,89,91
Turks and Caicos Islands,0,,0,,,67,,,,,60,20,57,100,0,33,,75,100,,
Chad,,,58,74,71,,54,,,72,54,68,69,74,68,77,74,79,78,80,81
Togo,,59,68,63,66,71,67,77,82,83,85,85,86,88,88,86,85,82,81,87,86
Thailand,69,75,74,73,71,71,75,81,80,84,83,82,81,81,80,79,83,84,85,85,83
Tajikistan,77,72,79,46,67,80,66,88,88,87,86,87,83,88,89,89,89,91,89,91,91
Turkmenistan,81,64,74,71,91,89,90,87,89,84,87,87,84,72,85,87,84,85,83,83,83
Timor-Leste,,,81,81,80,82,79,84,85,,28,91,89,84,84,87,89,88,88,91,91
Tonga,93,92,83,,,74,100,96,92,88,90,100,100,90,100,93,100,82,100,100,88
Trinidad and Tobago,68,72,,73,59,68,54,61,63,66,71,69,63,62,64,63,75,67,64,61,70
Tunisia,91,90,92,91,90,90,91,89,86,83,85,78,89,91,91,91,88,89,,90,88
Turkey,73,72,65,72,81,88,91,91,91,90,89,90,88,86,87,87,87,86,85,83,81
Tuvalu,86,,25,,100,86,78,74,88,83,93,83,70,78,47,79,81,68,93,87,77
Tanzania,78,81,80,81,82,83,85,88,88,88,89,88,90,91,90,90,90,90,92,93,96
Uganda,63,56,60,68,70,73,68,72,67,64,68,73,77,75,75,75,77,72,74,82,85
